ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,ER_topoWet,WC_bio12,ER_annualPET,ER_aridityIndexThornthwaite,lon,lat
781,1,640,14.100000381469727,18.100000381469727,66.44999694824219,9.130000114440918,408,1459.9599609375,84.660003662109375,-120.938925,36.6143
782,1,413,14.699999809265137,15.800000190734863,66.93000030517578,9.199999809265137,421,1380.260009765625,87.9000015258789,-121.258203,36.964527
783,1,9,19,10.899999618530273,3.640000104904175,12.899999618530273,1256,1304.469970703125,30.760000228881836,-81.157191,31.969664
784,1,834,5.900000095367432,8.199999809265137,207.22999572753906,7.170000076293945,1367,660.94000244140625,48.709999084472656,-123.237016,49.552718
785,1,638,12,13.199999809265137,73.43000030517578,8.859999656677246,1197,1163.199951171875,24.65999984741211,-82.11904,36.341506
786,1,40,22.399999618530273,12.899999618530273,3.180000066757202,12.880000114440918,1250,1593.25,44.630001068115234,-81.515753,27.664827
787,1,103,10.399999618530273,8,20.1200008392334,10.34000015258789,935,768.8900146484375,57.310001373291016,-122.382909,47.761678
788,1,30,17.899999618530273,12.600000381469727,2.299999952316284,13.239999771118164,1327,1386,34.529998779296875,-92.048397,32.602705
789,1,13,19.600000381469727,10.300000190734863,2.059999942779541,13.34000015258789,1614,1308.800048828125,12.489999771118164,-88.792385,30.459973
790,1,1695,10.699999809265137,17.399999618530273,36.189998626708984,10.630000114440918,368,1292.06005859375,76.30000305175781,-112.737999,37.233548
791,1,127,12,13,12.329999923706055,11.399999618530273,205,1107.2900390625,88.58000183105469,-119.146268,46.221831
792,1,1603,11.5,17.200000762939453,35.209999084472656,11.020000457763672,335,1330.300048828125,77.23999786376953,-112.530143,37.004641
793,1,338,6.599999904632568,12.199999809265137,8.850000381469727,12.050000190734863,833,924.82000732421875,26.479999542236328,-92.109473,44.146695
794,1,119,8.399999618530273,9.399999618530273,7.360000133514404,13.239999771118164,831,859.80999755859375,37.04999923706055,-79.595797,43.210967
795,1,7,10.100000381469727,9,28.579999923706055,10.960000038146973,830,793.25,56.41999816894531,-122.421442,48.565818
796,1,13,13.100000381469727,11.300000190734863,3.640000104904175,12.850000381469727,1097,1107.760009765625,30.1200008392334,-76.121962,39.010073
797,1,79,8.5,9.600000381469727,8.350000381469727,12.829999923706055,817,874.78997802734375,38.970001220703125,-79.792553,43.283146
798,1,402,9.100000381469727,11.600000381469727,83.36000061035156,8.739999771118164,293,942.030029296875,77.37999725341797,-119.545563,49.221861
799,1,312,6.400000095367432,12,4.300000190734863,13,719,912.34002685546875,32.09000015258789,-94.090827,45.280974
800,1,127,13.600000381469727,11.899999618530273,9.9399995803833,12.109999656677246,1194,1171.6500244140625,32.34000015258789,-89.021436,37.335452
801,1,105,10.399999618530273,8.100000381469727,17.700000762939453,10.770000457763672,962,771.33001708984375,54.9900016784668,-122.31041,47.759965
